id,name,rating,position,height,foot,rare,pace,shooting,passing,dribbling,defending,heading,diving,handling,kicking,reflexes,speed,positioning
100932, Sotirios Kyrgiakos,76,D,193, Right,1,41,42,41,41,42,41,41,42,41,41,42,41
100954, Monsef Zerka,63,M,183, Right,0,69,60,69,69,60,69,69,60,69,69,60,69
100964, Romain Poyet,72,A,184, Right,1,68,70,68,68,70,68,68,70,68,68,70,68
100987, David Hellebuyck,72,M,178, Left,1,60,79,60,60,79,60,60,79,60,60,79,60
101160, Nicoló Consolini,63,D,180, Right,0,71,47,71,71,47,71,71,47,71,71,47,71
101225, Neca,73,M,177, Right,1,64,70,64,64,70,64,64,70,64,64,70,64
101282, Oka Nikolov,70,GK,188, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
101286, Rolf-Christel Guié-Mien,64,M,177, Right,1,65,52,65,65,52,65,65,52,65,65,52,65
101317, Michael Ratajczak,65,GK,187, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
10133, Ivan Klasnić,75,A,186, Left,0,60,75,60,60,75,60,60,75,60,60,75,60
101336, Clemens Fritz,74,D,183, Right,1,79,62,79,79,62,79,79,62,79,79,62,79
101344, Otto Fredrikson,70,GK,189, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
101378, Cacau,78,A,179, Right,0,79,77,79,79,77,79,79,77,79,79,77,79
101411, Sascha Kirschstein,66,GK,196, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
101473, Tomasz Kuszczak,75,GK,190, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
101482, Timo Ochs,67,GK,189, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
101488, Daniel Haas,71,GK,188, Right,1,0,0,0,0,0,0,0,0,0,0,0,0
101490, Conor Casey,70,A,188, Right,1,57,66,57,57,66,57,57,66,57,57,66,57
101496, Mathias Abel,69,D,188, Right,0,54,40,54,54,40,54,54,40,54,54,40,54
101590, Giuseppe Greco,65,A,182, Left,0,72,62,72,72,62,72,72,62,72,72,62,72
101652, Peter Schyrba,61,D,185, Right,0,65,45,65,65,45,65,65,45,65,65,45,65
101658, Carsten Rothenbach,68,D,184, Right,0,67,54,67,67,54,67,67,54,67,67,54,67
101689, Antônio da Silva,73,M,178, Left,1,48,70,48,48,70,48,48,70,48,48,70,48
101749, Jens Langeneke,69,D,185, Right,0,51,41,51,51,41,51,51,41,51,51,41,51
101803, Goran Šukalo,67,M,193, Right,0,56,60,56,56,60,56,56,60,56,56,60,56
10183, David McCracken,60,D,188, Left,0,55,32,55,55,32,55,55,32,55,55,32,55
101868, Andreas Görlitz,67,D,179, Right,0,68,58,68,68,58,68,68,58,68,68,58,68
101875, Markus Miller,71,GK,189, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
101880, Robert Green,78,GK,188, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
101882, Adam Drury,65,D,180, Left,0,53,35,53,53,35,53,53,35,53,53,35,53
101891, Darel Russell,63,M,178, Right,0,61,50,61,61,50,61,61,50,61,61,50,61
101934, Dexter Langen,61,M,186, Right,0,69,53,69,69,53,69,69,53,69,69,53,69
101997, David Lucas,61,GK,188, Left,0,0,0,0,0,0,0,0,0,0,0,0,0
101999, Graham Alexander,64,M,180, Right,1,58,62,58,58,62,58,58,62,58,58,62,58
102001, Rob Edwards,65,D,185, Right,0,65,34,65,65,34,65,65,34,65,65,34,65
102021, Filip Trojan,68,M,172, Left,0,74,61,74,74,61,74,74,61,74,74,61,74
102056, Simone Padoin,73,M,179, Right,1,79,65,79,79,65,79,79,65,79,79,65,79
102064, Claudio Terzi,68,D,180, Right,0,60,46,60,60,46,60,60,46,60,60,46,60
102081, Marco Pisano,63,D,174, Left,0,65,47,65,65,47,65,65,47,65,65,47,65
102084, Luca Belingheri,67,M,183, Right,0,73,60,73,73,60,73,73,60,73,73,60,73
102088, Stefano Morrone,74,M,178, Right,0,61,61,61,61,61,61,61,61,61,61,61,61
102129, Petri Pasanen,73,D,187, Right,1,57,58,57,57,58,57,57,58,57,57,58,57
102133, Stefan Leitl,68,A,178, Right,0,70,68,70,70,68,70,70,68,70,70,68,70
102293, Ranisav Jovanović,60,A,193, Left,1,69,59,69,69,59,69,69,59,69,69,59,69
102356, Markus Feulner,73,M,181, Right,1,68,67,68,68,67,68,68,67,68,68,67,68
102359, Zvjezdan Misimović,81,M,180, Right,1,62,78,62,62,78,62,62,78,62,62,78,62
102362, Ivica Grlić,64,M,187, Right,1,44,70,44,44,70,44,44,70,44,44,70,44
102409, Florian Heller,67,A,179, Right,0,68,63,68,68,63,68,68,63,68,68,63,68
102587, Matt Hill,61,D,173, Left,0,54,34,54,54,34,54,54,34,54,54,34,54
102593, Craig Woodman,62,D,175, Left,0,57,28,57,57,28,57,57,28,57,57,28,57
10264, Ruud van Nistelrooy,80,A,188, Right,0,55,78,55,55,78,55,55,78,55,55,78,55
103133, Seol Ki Hyeon,69,A,187, Right,1,81,67,81,81,67,81,81,67,81,81,67,81
103307, John Oster,67,M,175, Right,0,72,57,72,72,57,72,72,57,72,72,57,72
103496, Andrea Cossu,80,M,171, Right,1,80,69,80,80,69,80,80,69,80,80,69,80
103578, Marcin Malinowski,57,M,179, Right,0,53,57,53,53,57,53,53,57,53,53,57,53
103581, Alan Dunne,63,D,180, Right,0,69,52,69,69,52,69,69,52,69,69,52,69
103582, Mark Phillips,58,D,188, Right,0,56,33,56,56,33,56,56,33,56,56,33,56
103585, Ben May,56,A,185, Left,0,43,56,43,43,56,43,43,56,43,43,56,43
103591, Gerald Sibon,66,A,196, Right,1,28,70,28,28,70,28,28,70,28,28,70,28
103735, Nicolas Timmermans,59,D,183, Right,0,66,49,66,66,49,66,66,49,66,66,49,66
103933, Jürgen Säumel,70,M,184, Left,0,73,59,73,73,59,73,73,59,73,73,59,73
103935, Alberto Aquilani,81,M,186, Right,1,65,75,65,65,75,65,65,75,65,65,75,65
103936, Simone Pepe,78,M,178, Right,0,84,75,84,84,75,84,84,75,84,84,75,84
103996, Mahamet Diagouraga,65,D,188, Right,0,71,43,71,71,43,71,71,43,71,71,43,71
1040, Roberto Carlos,79,M,168, Left,1,78,75,78,78,75,78,78,75,78,78,75,78
104047, Sergio Bernardo Almirón,75,M,176, Right,0,50,71,50,50,71,50,50,71,50,50,71,50
104088, Philipp Bönig,67,D,178, Left,0,68,48,68,68,48,68,68,48,68,68,48,68
1041, Javier Zanetti,82,M,178, Right,1,63,59,63,63,59,63,63,59,63,63,59,63
104100, Marius Ebbers,68,A,192, Right,0,59,65,59,59,65,59,59,65,59,59,65,59
104101, Benjamin Köhler,71,M,172, Left,0,76,65,76,76,65,76,76,65,76,76,65,76
104296, Liam Miller,66,M,170, Right,0,59,60,59,59,60,59,59,60,59,59,60,59
104389, Rune Almenning Jarstein,68,GK,190, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
104442, Chris Burke,73,M,175, Right,1,80,68,80,80,68,80,80,68,80,80,68,80
104472, Trond Erik Bertelsen,64,D,174, Left,1,75,57,75,75,57,75,75,57,75,75,57,75
104476, Christian Grindheim,73,M,179, Right,0,70,69,70,70,69,70,70,69,70,70,69,70
1046, Jérôme Rothen,72,M,177, Left,1,58,70,58,58,70,58,58,70,58,58,70,58
10468, Benjamin Kibebe,61,D,187, Right,0,57,43,57,57,43,57,57,43,57,57,43,57
104702, Daniel Braaten,73,M,184, Right,1,80,70,80,80,70,80,80,70,80,80,70,80
104732, David Prutton,64,M,185, Right,1,55,65,55,55,65,55,55,65,55,55,65,55
104733, Jack Lester,64,A,175, Right,0,56,62,56,56,62,56,56,62,56,56,62,56
104737, Barry Roche,62,GK,193, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
10475, Frédéric Page,57,D,185, Right,0,50,49,50,50,49,50,50,49,50,50,49,50
105113, Sven Müller,63,M,191, Right,0,72,60,72,72,60,72,72,60,72,72,60,72
105308, Jean Francois Gillet,77,GK,181, Left,0,0,0,0,0,0,0,0,0,0,0,0,0
105314, Lionel Pizzinat,55,M,183, Right,0,49,55,49,49,55,49,49,55,49,49,55,49
105318, Jaime Valdés,76,M,176, Right,0,76,75,76,76,75,76,76,75,76,76,75,76
105327, Richarlyson,74,M,176, Left,0,77,69,77,77,69,77,77,69,77,77,69,77
105330, Gaetano D'Agostino,75,M,182, Left,0,67,71,67,67,71,67,67,71,67,67,71,67
105338, Moris Carrozzieri,72,D,192, Right,1,33,41,33,33,41,33,33,41,33,33,41,33
105342, Patrick Owomoyela,73,D,187, Right,1,63,55,63,63,55,63,63,55,63,63,55,63
10535, Xavi,92,M,170, Right,1,67,72,67,67,72,67,67,72,67,67,72,67
105430, Grétar Steinsson,75,D,189, Right,0,55,52,55,55,52,55,55,52,55,55,52,55
105454, Zoran Tošić,77,M,171, Left,1,91,75,91,91,75,91,91,75,91,91,75,91
105466, Daniele Martinelli,63,D,181, Right,0,61,46,61,61,46,61,61,46,61,61,46,61
105471, François-Joseph Modesto,70,M,183, Right,0,63,50,63,63,50,63,63,50,63,63,50,63
105474, Daniele Conti,76,M,178, Right,0,53,71,53,53,71,53,53,71,53,53,71,53
105477, David Suazo,76,A,182, Right,1,91,76,91,91,76,91,91,76,91,91,76,91
105530, Aleksandar Vuković,65,M,186, Right,0,49,56,49,49,56,49,49,56,49,49,56,49
105533, Łukasz Załuska,69,GK,191, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
105558, Alexander Iashvili,68,A,175, Left,0,75,66,75,75,66,75,75,66,75,75,66,75
105663, Dennis Kruppke,66,M,179, Right,0,71,67,71,71,67,71,71,67,71,71,67,71
105748, Lars Jungnickel,65,D,180, Right,0,74,50,74,74,50,74,74,50,74,74,50,74
105803, Gurpegi,75,M,181, Right,0,65,54,65,65,54,65,65,54,65,65,54,65
10584, Luciano Zauri,72,D,178, Right,0,54,58,54,54,58,54,54,58,54,54,58,54
105846, Artur Boruc,78,GK,193, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
105865, Tomasz Kiełbowicz,64,D,179, Left,1,63,52,63,63,52,63,63,52,63,63,52,63
105866, Cesare Bovo,78,D,181, Right,0,65,61,65,65,61,65,65,61,65,65,61,65
105945, Karel Geraerts,67,M,186, Right,0,60,65,60,60,65,60,60,65,60,60,65,60
106019, Adriano,77,A,190, Left,0,62,80,62,62,80,62,62,80,62,62,80,62
106036, Dennis Eilhoff,69,GK,190, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
106112, Julien François,66,M,192, Left,0,51,52,51,51,52,51,51,52,51,51,52,51
106134, Andrew Frampton,63,D,185, Left,1,50,43,50,50,43,50,50,43,50,50,43,50
106202, Marek Saganowski,63,A,178, Right,1,67,63,67,67,63,67,67,63,67,67,63,67
106213, Iraola,79,D,182, Right,0,82,69,82,82,69,82,82,69,82,82,69,82
106222, Arriaga,59,A,171, Right,0,69,58,69,69,58,69,69,58,69,69,58,69
106231, Aduriz,79,A,182, Right,1,72,75,72,72,75,72,72,75,72,72,75,72
106436, Łukasz Surma,60,M,173, Right,0,59,46,59,59,46,59,59,46,59,59,46,59
106510, Dickson Choto,68,D,192, Right,1,54,32,54,54,32,54,54,32,54,54,32,54
106539, Gabri,68,M,175, Right,0,66,60,66,66,60,66,66,60,66,66,60,66
106560, Grégory Pujol,77,A,183, Right,0,62,76,62,62,76,62,62,76,62,62,76,62
106573, Valdés,85,GK,183, Right,1,0,0,0,0,0,0,0,0,0,0,0,0
106582, Dani Tortolero,63,D,184, Right,0,52,48,52,52,48,52,52,48,52,52,48,52
106710, Giacomo Tedesco,67,M,176, Left,0,59,63,59,59,63,59,59,63,59,59,63,59
106795, Gianluca Pegolo,62,GK,183, Left,1,0,0,0,0,0,0,0,0,0,0,0,0
106850, Mirko Vučinić,81,A,186, Right,1,82,80,82,82,80,82,82,80,82,82,80,82
106868, Alberto Comazzi,61,D,178, Right,0,52,37,52,52,37,52,52,37,52,52,37,52
106874, Davide Brivio,70,D,185, Left,0,66,50,66,66,50,66,66,50,66,66,50,66
107078, Max von Schlebrügge,70,D,188, Left,0,54,56,54,54,56,54,54,56,54,54,56,54
107084, Michael Langer,65,GK,193, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
107103, Marc Ziegler,72,GK,193, Right,1,0,0,0,0,0,0,0,0,0,0,0,0
107263, Fahid Ben Khalfallah,71,M,170, Right,0,76,62,76,76,62,76,76,62,76,76,62,76
107280, Benjamin Genton,66,D,188, Right,0,41,32,41,41,32,41,41,32,41,41,32,41
107298, Yohann Pelé,75,GK,196, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
107305, Mickaël Tacalfred,64,D,175, Right,0,64,55,64,64,55,64,64,55,64,64,55,64
107320, Johan Audel,73,M,180, Left,1,76,67,76,76,67,76,76,67,76,76,67,76
107494, Andrea Campagnolo,71,GK,184, Right,1,0,0,0,0,0,0,0,0,0,0,0,0
1075, Alessandro Del Piero,80,A,173, Right,1,56,79,56,56,79,56,56,79,56,56,79,56
107528, John Mensah,76,D,180, Right,0,61,43,61,61,43,61,61,43,61,61,43,61
107579, Federico Agliardi,66,GK,190, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
107634, René Renno,60,GK,186, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
10764, Juanfran,71,D,182, Left,0,70,52,70,70,52,70,70,52,70,70,52,70
107647, Hamit Altintop,76,M,183, Right,0,74,78,74,74,78,74,74,78,74,74,78,74
107713, Tom Starke,76,GK,195, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
107715, Lúcio,85,D,188, Right,1,76,61,76,76,61,76,76,61,76,76,61,76
107758, Markus Thorandt,68,D,187, Right,0,67,44,67,67,44,67,67,44,67,67,44,67
107794, Markus Bollmann,64,D,190, Right,0,54,30,54,54,30,54,54,30,54,54,30,54
107796, Markus Krösche,65,M,180, Right,0,61,49,61,61,49,61,61,49,61,61,49,61
10780, César Navas,75,D,194, Right,1,67,42,67,67,42,67,67,42,67,67,42,67
107901, Collin Benjamin,68,M,182, Right,0,68,61,68,68,61,68,68,61,68,68,61,68
107904, Deniz Dogan,66,D,182, Left,0,66,52,66,66,52,66,66,52,66,66,52,66
108061, Reto Ziegler,78,D,183, Left,0,76,70,76,76,70,76,76,70,76,76,70,76
108075, Eduardo,69,A,178, Right,0,76,68,76,76,68,76,76,68,76,76,68,76
108080, Stephan Lichtsteiner,79,D,183, Right,0,79,58,79,79,58,79,79,58,79,79,58,79
10824, Patrick Mtiliga,69,D,171, Left,1,86,58,86,86,58,86,86,58,86,86,58,86
108583, Kris De Wree,64,D,185, Right,0,63,53,63,63,53,63,63,53,63,63,53,63
10862, Delron Buckley,65,M,177, Left,0,75,64,75,75,64,75,75,64,75,75,64,75
10863, Enzo Maresca,73,M,180, Right,1,53,75,53,53,75,53,53,75,53,53,75,53
108658, Marco Streller,74,A,195, Left,1,64,64,64,64,64,64,64,64,64,64,64,64
108734, Frankie Hejduk,62,D,173, Right,0,70,53,70,70,53,70,70,53,70,70,53,70
108750, David Degen,68,M,185, Right,1,82,60,82,82,60,82,82,60,82,82,60,82
108784, Wim De Decker,64,M,186, Right,0,43,52,43,43,52,43,43,52,43,43,52,43
1088, Alessandro Nesta,85,D,187, Right,1,54,36,54,54,36,54,54,36,54,54,36,54
10884, Michael Flynn,60,M,178, Right,0,57,58,57,57,58,57,57,58,57,57,58,57
10899, Chris Porter,65,A,185, Right,0,66,62,66,66,62,66,66,62,66,66,62,66
1092, Alan Murphy,56,A,174, Left,0,59,57,59,59,57,59,59,57,59,59,57,59
109321, Christian Weber,64,D,175, Right,0,70,51,70,70,51,70,70,51,70,70,51,70
109416, Alexandr Kerzhakov,82,A,176, Right,1,87,82,87,87,82,87,87,82,87,87,82,87
109493, Bram Castro,65,GK,191, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
10959, Pablo Aimar,83,M,170, Right,1,75,73,75,75,73,75,75,73,75,75,73,75
109693, Yakubu,73,A,183, Right,1,67,74,67,67,74,67,67,74,67,67,74,67
109724, Peter Løvenkrands,71,A,180, Left,1,69,70,69,69,70,69,69,70,69,69,70,69
109809, Youssef El-Akchaoui,66,D,174, Left,0,65,66,65,65,66,65,65,66,65,65,66,65
109852, Gareth McAuley,69,D,191, Right,0,55,38,55,55,38,55,55,38,55,55,38,55
1099, Marco Di Vaio,81,A,179, Right,0,79,78,79,79,78,79,79,78,79,79,78,79
109910, Mark Wilson,73,D,178, Right,0,72,36,72,72,36,72,72,36,72,72,36,72
109969, Juan Pablo,73,GK,187, Right,1,0,0,0,0,0,0,0,0,0,0,0,0
109973, Ochoa,62,D,191, Left,0,43,41,43,43,41,43,43,41,43,43,41,43
11, Romain Rocchi,67,M,183, Right,0,61,67,61,61,67,61,61,67,61,61,67,61
110019, Dorado,73,D,180, Left,0,59,33,59,59,33,59,59,33,59,59,33,59
110020, Pelegrín,70,D,184, Left,0,53,39,53,53,39,53,53,39,53,53,39,53
110023, Generelo,67,M,183, Right,0,57,67,57,57,67,57,57,67,57,57,67,57
110026, Cani,79,M,180, Right,0,81,74,81,81,74,81,81,74,81,81,74,81
110082, Pinto,72,GK,185, Right,1,0,0,0,0,0,0,0,0,0,0,0,0
110108, Luciano,62,D,184, Right,0,45,43,45,45,43,45,45,43,45,45,43,45
110117, Borja Oubiña,64,M,181, Right,1,57,56,57,57,56,57,57,56,57,57,56,57
110146, Dani Mallo,62,GK,186, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
1102, Carlo Cudicini,76,GK,185, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
110272, Josemi,68,D,182, Right,0,73,49,73,73,49,73,73,49,73,73,49,73
110283, Duda,76,M,175, Left,1,68,77,68,68,77,68,68,77,68,68,77,68
110291, Manolo,68,D,173, Right,0,75,50,75,75,50,75,75,50,75,75,50,75
110297, Nacho,69,D,175, Left,0,73,55,73,73,55,73,73,55,73,73,55,73
110301, Juanma,67,M,176, Right,0,69,60,69,69,60,69,69,60,69,69,60,69
11031, Sylvain Wiltord,70,A,174, Right,0,72,68,72,72,68,72,72,68,72,72,68,72
110363, Carlos García,69,D,184, Right,0,46,32,46,46,32,46,46,32,46,46,32,46
110368, Edu Albácar,68,D,177, Left,0,74,65,74,74,65,74,74,65,74,74,65,74
110371, Moises Hurtado,72,M,185, Right,1,43,50,43,43,50,43,43,50,43,43,50,43
110375, Crusat,74,A,162, Left,1,93,62,93,93,62,93,93,62,93,93,62,93
110376, Jonathan Soriano,74,A,180, Right,1,74,72,74,74,72,74,74,72,74,74,72,74
110377, Corominas,68,A,171, Right,0,78,62,78,78,62,78,78,62,78,78,62,78
110379, Tariq,65,A,183, Right,0,41,64,41,41,64,41,41,64,41,41,64,41
110381, Maximiliano Rodríguez,78,A,180, Right,0,70,76,70,70,76,70,70,76,70,70,76,70
110389, Carmelo,70,M,180, Right,0,68,59,68,68,59,68,68,59,68,68,59,68
110402, Sergio,71,D,191, Right,1,36,44,36,36,44,36,36,44,36,36,44,36
11044, Traianos Dellas,72,D,196, Right,1,33,49,33,33,49,33,33,49,33,33,49,33
110525, Dele Adebola,64,A,191, Left,1,34,65,34,34,65,34,34,65,34,34,65,34
11056, Grégory Proment,69,M,176, Right,0,53,63,53,53,63,53,53,63,53,53,63,53
11061, Paolo Orlandoni,70,GK,186, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
110627, Jofre,67,M,171, Left,0,71,57,71,71,57,71,71,57,71,71,57,71
110638, Alberto,64,GK,190, Right,1,0,0,0,0,0,0,0,0,0,0,0,0
110652, Riera,77,A,188, Left,0,77,74,77,77,74,77,77,74,77,77,74,77
110657, Güiza,74,A,180, Right,1,73,74,73,73,74,73,73,74,73,73,74,73
110677, Moyá,75,GK,185, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
110691, Kike Mateo,66,M,176, Right,0,63,63,63,63,63,63,63,63,63,63,63,63
110774, Rubén,74,D,187, Right,0,55,38,55,55,38,55,55,38,55,55,38,55
110787, Borja,70,M,188, Right,0,51,66,51,51,66,51,51,66,51,51,66,51
110810, Gaspar,65,D,182, Right,0,49,44,49,49,44,49,49,44,49,49,44,49
110811, Mario,74,D,178, Left,1,66,46,66,66,46,66,66,46,66,66,46,66
110842, Óscar,71,M,176, Right,1,69,72,69,69,72,69,69,72,69,69,72,69
110852, De Lucas,73,M,175, Right,1,72,72,72,72,72,72,72,72,72,72,72,72
110854, Aganzo,72,A,177, Left,1,67,66,67,67,66,67,67,66,67,67,66,67
110879, Kevin Kyle,69,A,191, Right,0,68,67,68,68,67,68,68,67,68,68,67,68
110880, Simon Ramsden,61,D,183, Right,0,65,42,65,65,42,65,65,42,65,65,42,65
110907, Stefan Buck,64,D,189, Left,1,61,48,61,61,48,61,61,48,61,61,48,61
110920, Alexander Schnetzler,61,D,173, Left,0,68,46,68,68,46,68,68,46,68,68,46,68
110961, Aranburu,74,M,180, Left,0,55,67,55,55,67,55,55,67,55,55,67,55
11097, Christian Timm,63,M,180, Right,1,78,59,78,78,59,78,78,59,78,78,59,78
110974, Riesgo,73,GK,185, Right,1,0,0,0,0,0,0,0,0,0,0,0,0
110979, Labaka,70,D,185, Right,0,53,50,53,53,50,53,53,50,53,53,50,53
110984, Mikel Alonso,65,M,180, Right,0,56,61,56,56,61,56,56,61,56,56,61,56
111008, Albelda,77,M,181, Right,0,49,64,49,49,64,49,49,64,49,49,64,49
111022, David Navarro,74,D,183, Right,1,65,49,65,65,49,65,65,49,65,65,49,65
111023, Garrido,74,D,180, Left,1,72,66,72,72,66,72,72,66,72,72,66,72
111033, Tena,66,D,185, Right,0,61,41,61,61,41,61,61,41,61,61,41,61
111038, Jandro,70,M,175, Right,0,71,68,71,71,68,71,71,68,71,71,68,71
111040, Pablo Redondo,68,M,175, Right,0,73,62,73,73,62,73,73,62,73,73,62,73
111041, Albiol,60,M,177, Right,0,68,45,68,68,45,68,68,45,68,68,45,68
111083, Dani Bautista,65,D,177, Left,0,75,51,75,75,51,75,75,51,75,75,51,75
111085, Abel,69,M,182, Right,0,61,67,61,61,67,61,61,67,61,61,67,61
111091, Arteaga,65,A,167, Left,0,76,56,76,76,56,76,76,56,76,76,56,76
111093, Reyes,85,A,176, Left,1,88,79,88,88,79,88,88,79,88,88,79,88
111114, Javi Venta,71,D,180, Right,0,66,49,66,66,49,66,66,49,66,66,49,66
111125, Oguchi Onyewu,73,D,194, Right,1,50,44,50,50,44,50,50,44,50,50,44,50
111137, Martí,74,M,180, Right,1,49,67,49,49,67,49,49,67,49,49,67,49
111163, Steeve Elana,76,GK,187, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
111172, Alexandre Alphonse,66,A,174, Right,0,79,65,79,79,65,79,79,65,79,79,65,79
111195, Andreas Wolf,74,D,182, Right,0,56,47,56,56,47,56,56,47,56,56,47,56
111206, Sascha Riether,76,D,174, Right,0,77,58,77,77,58,77,77,58,77,77,58,77
111238, Florian Jarjat,60,D,181, Left,0,53,44,53,53,44,53,53,44,53,53,44,53
111306, Romain Larrieu,62,GK,188, Right,1,0,0,0,0,0,0,0,0,0,0,0,0
111310, Graham Coughlan,56,D,188, Right,0,30,16,30,30,16,30,30,16,30,30,16,30
111320, Paul Wotton,60,M,180, Right,0,53,56,53,53,56,53,53,56,53,53,56,53
111329, Paul Connolly,66,D,183, Right,0,65,39,65,65,39,65,65,39,65,65,39,65
111331, Blair Sturrock,57,A,183, Right,0,65,53,65,65,53,65,65,53,65,65,53,65
11141, Miroslav Klose,81,A,184, Right,1,75,74,75,75,74,75,75,74,75,75,74,75
111477, Fabien Audard,75,GK,188, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
111503, Chaouki Ben Saada,72,A,170, Left,1,73,66,73,73,66,73,73,66,73,73,66,73
111545, Corona,65,D,182, Right,0,51,42,51,51,42,51,51,42,51,51,42,51
111590, Liam Feeney,64,M,183, Right,1,82,50,82,82,50,82,82,50,82,82,50,82
11165, Thomas Butler,60,M,170, Right,1,54,49,54,54,49,54,54,49,54,54,49,54
111661, Carlos Idriss Kameni,82,GK,186, Right,1,0,0,0,0,0,0,0,0,0,0,0,0
111694, Bas Savage,51,A,191, Right,0,65,51,65,65,51,65,65,51,65,65,51,65
111710, Guilherme Afonso,58,A,187, Right,1,81,55,81,81,55,81,81,55,81,81,55,81
11215, Florian Bruns,66,M,188, Left,0,68,64,68,68,64,68,68,64,68,68,64,68
112230, Franck Béria,76,D,177, Right,0,77,55,77,77,55,77,77,55,77,77,55,77
112243, Sébastien Grax,64,A,180, Right,1,68,63,68,68,63,68,68,63,68,68,63,68
